#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270152.0630931854,0.000576753,0.00732686,0.366146,0.0327115,-0.0565696,-0.997809,0.0103136
1407270152.1089253426,0.000588323,0.00730501,0.366172,0.0326263,-0.0564223,-0.99782,0.0103137
1407270152.1685309410,0.000456565,0.00753142,0.366058,0.0333074,-0.0576002,-0.997731,0.0103128
1407270152.2012603283,0.000732257,0.00708203,0.366168,0.0319452,-0.0552444,-0.997908,0.0103146
1407270152.2437090874,0.000574176,0.00731086,0.36621,0.0326263,-0.0564223,-0.99782,0.0103137
1407270152.2752311230,0.000659287,0.00719911,0.366139,0.0322858,-0.0558334,-0.997865,0.0103141
1407270152.2967209816,0.000604097,0.00728718,0.366142,0.0325412,-0.0562751,-0.997832,0.0103138
1407270152.3483266830,0.000650201,0.00719484,0.366205,0.0322858,-0.0558334,-0.997865,0.0103141
1407270152.4064953327,0.000588939,0.00730535,0.366151,0.0326263,-0.0564223,-0.99782,0.0103137
1407270152.4537966251,0.000411557,0.00758317,0.366082,0.0334777,-0.0578946,-0.997708,0.0103125
1407270152.4822363853,0.000453169,0.00752746,0.366027,0.0333369,-0.0575831,-0.997732,0.0101427
1407270152.5118408203,0.000612708,0.00723838,0.366122,0.0325039,-0.0561002,-0.997841,0.010484
1407270152.5447978973,0.000650504,0.00719491,0.366143,0.0323428,-0.0558003,-0.997865,0.0103141
1407270152.5818119049,0.000437954,0.0075229,0.366119,0.0333663,-0.0575661,-0.997731,0.0103128
1407270152.6367049217,0.000481155,0.00745973,0.36609,0.0332055,-0.0572661,-0.997755,0.0101429
1407270152.6635541916,0.000373364,0.00763997,0.366044,0.0337173,-0.0581488,-0.997687,0.0101422
1407270152.7053580284,0.000409171,0.00757429,0.366039,0.0335467,-0.0578546,-0.99771,0.0101425
1407270152.7238993645,0.000511472,0.00740696,0.36606,0.0330349,-0.0569719,-0.997778,0.0101432
1407270152.7587096691,0.000559728,0.00732293,0.366153,0.0328078,-0.0565137,-0.997809,0.0103136
1407270152.7950868607,0.000490356,0.0074393,0.366083,0.0331494,-0.0571021,-0.997765,0.0103131
1407270152.8302328587,0.00045344,0.00748639,0.36606,0.0333202,-0.0573962,-0.997742,0.0103129
1407270152.8755331039,0.000581712,0.00726309,0.366122,0.0326371,-0.0562195,-0.997832,0.0103138
1407270152.9157259464,0.000591657,0.00727474,0.366121,0.0326371,-0.0562195,-0.997832,0.0103138
1407270152.9624838829,0.00051638,0.00738385,0.366119,0.0329786,-0.0568079,-0.997787,0.0103133
1407270152.9912891388,0.000625581,0.00720848,0.366117,0.0324663,-0.0559254,-0.997854,0.010314
1407270153.0156917572,0.000515537,0.00737726,0.366136,0.0329786,-0.0568079,-0.997787,0.0103133
1407270153.0647614002,0.000407812,0.00754254,0.366087,0.0334909,-0.0576904,-0.997719,0.0103126
1407270153.0979356766,0.000511667,0.00737298,0.366128,0.0329786,-0.0568079,-0.997787,0.0103133
1407270153.1376578808,0.000567875,0.00729326,0.366165,0.0327224,-0.0563666,-0.99782,0.0103137
1407270153.1824226379,0.000510637,0.00738134,0.366165,0.0329786,-0.0568079,-0.997787,0.0103133
1407270153.2241759300,0.000685464,0.00710365,0.366175,0.0321247,-0.055337,-0.997898,0.0103145
